stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\User\Documents\CSI2P-Final-Project-Template\CSI2P-Final-Project-Template\SourceCode\allegro5.cfg r
display  D   display_settings.c:527  _al_score_display_settings       [   0.32281] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.32283] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32286] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.32288] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32291] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.32293] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32296] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.32298] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32301] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.32303] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32306] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.32308] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32310] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.32313] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32315] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.32318] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32320] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.32323] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32325] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.32328] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32330] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.32333] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32335] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.32337] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32340] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.32342] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32346] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.32348] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32351] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.32353] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32356] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.32358] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32361] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.32363] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32366] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.32368] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32371] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.32373] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32376] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.32378] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32381] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.32383] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32386] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.32388] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32391] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.32393] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32396] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.32398] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32400] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.32403] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32405] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.32408] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32410] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32413] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32415] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32418] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32421] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32423] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32425] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32428] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32431] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32433] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32436] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32438] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32441] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32443] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32446] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32448] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32451] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32454] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32457] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32459] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32462] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32464] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32467] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32469] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32472] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32474] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32477] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32479] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32482] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32484] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32487] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32489] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32492] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32494] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32497] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32499] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32502] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32504] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32507] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32510] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32512] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32515] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32517] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32520] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32522] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32525] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32527] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32530] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32532] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32535] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32537] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32540] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32542] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32545] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32547] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32550] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32552] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32555] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32557] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32560] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32562] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32565] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32568] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32570] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32573] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32575] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32578] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32580] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32583] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32586] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32588] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32591] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32593] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32596] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32598] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32601] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32603] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32606] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32608] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32611] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32613] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32616] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32618] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32621] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32623] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32626] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32628] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32631] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32633] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32636] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32638] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32641] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32644] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32646] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32649] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1682 d3d_create_display_internals     [   0.32655] Trying format 0.
d3d      I         d3d_disp.cpp:1358 d3d_display_thread_proc          [   0.32704] Chose a display format: 23
d3d      I         d3d_disp.cpp:1427 d3d_display_thread_proc          [   0.32713] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   0.41754] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:853  d3d_create_device                [   0.56504] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:861  d3d_create_device                [   0.56520] Success
d3d      D         d3d_disp.cpp:1705 d3d_create_display_internals     [   0.56531] Resumed after wait.
d3d      I         d3d_disp.cpp:1738 d3d_create_display_internals     [   0.56546] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1769 d3d_create_display_internals     [   0.56552] Returning d3d_display: 00000000001da1b0
d3d      D         d3d_disp.cpp:1794 d3d_create_display_locked        [   0.56555] al_display=00000000001da1b0
d3d      D         d3d_disp.cpp:1795 d3d_create_display_locked        [   0.56558] al_display->vt=00000000001da040
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.56636] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:780  load_library_at_path             [   0.56642] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:783  load_library_at_path             [   0.56728] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.56739] Module "d3dx9_43.dll" loaded.
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.56953] opening ./assets/image/game_icon.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.57013] opening ./assets/image/game_icon.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.57054] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.57060] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.57064] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.57068] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.57071] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.57074] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.57078] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.57082] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.57085] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.57088] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.57092] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.57095] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.57099] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.61278] added dtor for bitmap 0000000002c78800, func 00007ffcc2941bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.61655] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.61659] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.61660] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.61661] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.61662] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.61665] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.61666] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.61667] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.61667] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.61668] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.61669] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.61670] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.61671] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.61712] added dtor for bitmap 0000000002c74870, func 00007ffcc2941bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.63468] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.63474] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   0.63550] removed dtor for bitmap 0000000002c74870
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.63702] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.63706] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.63708] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.63709] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.63710] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.63712] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.63713] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.63714] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.63716] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.63717] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.63718] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.63720] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.63721] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.63746] added dtor for bitmap 0000000002c74870, func 00007ffcc2941bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.64429] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.64437] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   0.64735] removed dtor for bitmap 0000000002c74870
audio-dsound D           dsound.cpp:311  _dsound_allocate_voice           [   0.64800] Allocating voice
audio-dsound D           dsound.cpp:370  _dsound_allocate_voice           [   0.64804] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.64806] added dtor for voice 0000000002c74870, func 00007ffcc2a75024
dtor     D               dtor.c:196  _al_register_destructor          [   0.64808] added dtor for mixer 0000000002c749b0, func 00007ffcc2a704dc
audio-dsound D           dsound.cpp:466  _dsound_start_voice              [   0.64810] Starting voice
audio-dsound D           dsound.cpp:494  _dsound_start_voice              [   0.64812] CreateSoundBuffer
audio-dsound D           dsound.cpp:502  _dsound_start_voice              [   0.66480] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:508  _dsound_start_voice              [   0.66485] Starting _dsound_update thread
audio-dsound I           dsound.cpp:518  _dsound_start_voice              [   0.66490] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.66491] added dtor for sample_instance 0000000002c74bf0, func 00007ffcc2a6929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.66493] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66494] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66495] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.66496] added dtor for sample_instance 0000000002c74d10, func 00007ffcc2a6929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.66498] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66499] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66500] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.66501] added dtor for sample_instance 0000000002c74e30, func 00007ffcc2a6929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.66502] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66503] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66504] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.66504] added dtor for sample_instance 0000000002c74f50, func 00007ffcc2a6929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.66505] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66506] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66507] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.66508] added dtor for sample_instance 0000000002c77010, func 00007ffcc2a6929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.66509] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66510] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66511] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.66512] added dtor for sample_instance 0000000002c77130, func 00007ffcc2a6929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.66518] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66521] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66522] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.66524] added dtor for sample_instance 0000000002c77250, func 00007ffcc2a6929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.66525] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66526] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66527] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.66528] added dtor for sample_instance 0000000002c77370, func 00007ffcc2a6929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.66528] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66529] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66530] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.66531] added dtor for sample_instance 0000000002c775a0, func 00007ffcc2a6929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.66532] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66533] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66534] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.66535] added dtor for sample_instance 0000000002c776c0, func 00007ffcc2a6929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.66536] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66537] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66538] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.66539] added dtor for sample_instance 0000000002c777e0, func 00007ffcc2a6929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.66541] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66542] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66543] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.66544] added dtor for sample_instance 0000000002c77900, func 00007ffcc2a6929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.66546] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66546] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.66547] 
